collection,reference,best_sell_price,best_sell_country
Luminor,PAM00422,12376.419999999998,UK
Luminor,PAM00670,26142.03,UK
Luminor,PAM00715,75031.2,France
Luminor,PAM00742,54189.2,France
Luminor,PAM00914,7703.69,UK
Luminor,PAM00915,8208.849999999999,UK
Luminor,PAM00920,234773.11,UK
Luminor,PAM01060,196956.9,France
Luminor,PAM01084,6693.37,UK
Luminor,PAM01085,6693.37,UK
Luminor,PAM01086,6188.209999999999,UK
Luminor,PAM01087,6188.209999999999,UK
Luminor,PAM01109,10987.23,UK
Luminor,PAM01110,11744.97,UK
Luminor,PAM01111,32077.66,UK
Luminor,PAM01112,29172.99,UK
Luminor,PAM01157,10229.49,UK
Luminor,PAM01218,10987.23,UK
Luminor,PAM01219,18059.47,UK
Luminor,PAM01312,9598.04,UK
Luminor,PAM01313,9598.04,UK
Luminor,PAM01314,9598.04,UK
Luminor,PAM01316,10355.78,UK
Luminor,PAM01356,10229.49,UK
Luminor,PAM01358,10229.49,UK
Luminor,PAM01360,11618.679999999998,UK
Luminor,PAM01361,11618.679999999998,UK
Luminor,PAM01365,9976.91,UK
Luminor,PAM01367,9976.91,UK
Luminor,PAM01370,8461.43,UK
Luminor,PAM01371,8461.43,UK
Luminor,PAM01372,8461.43,UK
Luminor,PAM01404,10482.07,UK
Luminor,PAM01408,10103.2,UK
Luminor,PAM01409,11997.55,UK
Luminor,PAM01412,10734.65,UK
Luminor,PAM01419,19448.66,UK
Luminor,PAM01441,16291.409999999998,UK
Luminor,PAM01482,16543.989999999998,UK
Luminor,PAM01483,21216.72,UK
Luminor,PAM01526,14397.06,UK
Luminor,PAM01548,11744.97,UK
Luminor,PAM01562,10355.78,UK
Luminor,PAM01564,10355.78,UK
Luminor,PAM01623,6188.209999999999,UK
Luminor,PAM01624,6693.37,UK
Luminor,PAM01628,11492.39,UK
Luminor,PAM01640,10734.65,UK
Luminor,PAM01641,27657.51,UK
Luminor,PAM01655,8840.3,UK
Luminor,PAM01674,20837.85,UK
Luminor,PAM01688,55231.3,France
Luminor,PAM02661,16165.12,UK
Luminor,PAM02662,17806.89,UK
Luminor Due,PAM01123,8335.14,UK
Luminor Due,PAM01124,8840.3,UK
Luminor Due,PAM01179,10482.07,UK
Luminor Due,PAM01181,23363.65,UK
Luminor Due,PAM01182,40539.09,UK
Luminor Due,PAM01248,7577.4,UK
Luminor Due,PAM01250,7956.269999999999,UK
Luminor Due,PAM01273,7577.4,UK
Luminor Due,PAM01280,20206.4,UK
Luminor Due,PAM01301,11366.1,UK
Luminor Due,PAM01309,8587.72,UK
Luminor Due,PAM01311,8587.72,UK
Luminor Due,PAM01319,8587.72,UK
Luminor Due,PAM01326,40539.09,UK
Luminor Due,PAM01329,42686.02,UK
Luminor Due,PAM01336,23363.65,UK
Luminor Due,PAM01378,8082.559999999999,UK
Luminor Due,PAM01381,8461.43,UK
Luminor Due,PAM01387,8966.59,UK
Luminor Due,PAM01388,7956.269999999999,UK
Luminor Due,PAM01423,23363.65,UK
Luminor Due,PAM01424,7956.269999999999,UK
Luminor Due,PAM01425,7577.4,UK
Luminor Due,PAM01426,7577.4,UK
Luminor Due,PAM01428,7956.269999999999,UK
Luminor Due,PAM01429,7956.269999999999,UK
Luminor Due,PAM01442,44832.95,UK
Luminor Due,PAM01494,44832.95,UK
Luminor Due,PAM01504,43696.34,UK
Luminor Due,PAM01508,8587.72,UK
Luminor Due,PAM01539,8966.59,UK
Luminor Due,PAM01552,7577.4,UK
Luminor Due,PAM01557,10482.07,UK
Radiomir,PAM00600,396800.0,USA
Radiomir,PAM00760,20332.69,UK
Radiomir,PAM01026,19827.53,UK
Radiomir,PAM01284,177157.0,France
Radiomir,PAM01334,7703.69,UK
Radiomir,PAM01335,7703.69,UK
Radiomir,PAM01347,10608.36,UK
Radiomir,PAM01348,10608.36,UK
Radiomir,PAM01349,13386.74,UK
Radiomir,PAM01350,7703.69,UK
Radiomir,PAM01363,41684.0,France
Radiomir,PAM01364,61483.9,France
Radiomir,PAM01382,5430.469999999999,UK
Radiomir,PAM01383,5430.469999999999,UK
Radiomir,PAM01384,5935.629999999999,UK
Radiomir,PAM01385,5935.629999999999,UK
Radiomir,PAM01437,19827.53,UK
Radiomir,PAM01453,52105.0,France
Radiomir,PAM01570,6567.08,UK
Radiomir,PAM01571,6567.08,UK
Radiomir,PAM01572,6567.08,UK
Radiomir,PAM01573,6567.08,UK
Radiomir,PAM01643,51062.9,France
Submersible,PAM00968,20332.69,UK
Submersible,PAM01074,19196.08,UK
Submersible,PAM01232,20206.4,UK
Submersible,PAM01241,54189.2,France
Submersible,PAM01283,54189.2,France
Submersible,PAM01287,12629.0,UK
Submersible,PAM01288,12629.0,UK
Submersible,PAM01289,12629.0,UK
Submersible,PAM01323,12123.839999999998,UK
Submersible,PAM01403,54189.2,France
Submersible,PAM01405,203209.5,France
Submersible,PAM01466,18059.47,UK
Submersible,PAM01507,13386.74,UK
Submersible,PAM01513,21469.3,UK
Submersible,PAM01518,11113.52,UK
Submersible,PAM01521,37508.13,UK
Submersible,PAM01543,18059.47,UK
Submersible,PAM01563,19701.24,UK
Submersible,PAM01565,12376.419999999998,UK
Submersible,PAM01579,11997.55,UK
Submersible,PAM01590,10355.78,UK
Submersible,PAM01595,10860.94,UK
Submersible,PAM01596,10860.94,UK
Submersible,PAM01669,14902.22,UK
Submersible,PAM01670,98999.5,France
Submersible,PAM01676,13007.87,UK
Submersible,PAM01681,13134.16,UK
Submersible,PAM01800,112546.8,France
Submersible,PAM02068,12755.29,UK
Submersible,PAM02070,36245.23,UK
Submersible,PAM02164,32582.82,UK
Submersible,PAM02231,19069.79,UK
Submersible,PAM02239,33087.98,UK
Submersible,PAM02305,11618.679999999998,UK
Submersible,PAM02616,20585.27,UK
Submersible,PAM02683,11492.39,UK
Submersible,PAM02692,16165.12,UK
Submersible,PAM02973,10355.78,UK
Submersible,PAM02979,21974.46,UK
