brand,reference,collection,price_USD_2021,price_USD_2025,Price Difference,Increase Rate (%),CAGR (%)
PANERAI,PAM00422,Luminor,10441.59,11635.96,1194.369999999999,11.438583587365516,2.7445740123013262
PANERAI,PAM00670,Luminor,22745.34,24781.71,2036.369999999999,8.95291079403517,2.1667808112441955
PANERAI,PAM00715,Luminor,71677.98,66910.512,-4767.4679999999935,-6.651230963819005,-1.7059682824805744
PANERAI,PAM00742,Luminor,49957.380000000005,48364.426,-1592.9540000000052,-3.1886259847894447,-0.8068696513424678
PANERAI,PAM00914,Luminor,6439.32,7288.96,849.6400000000003,13.194560916370058,3.1469497982022254
PANERAI,PAM00915,Luminor,7131.57,7798.977999999999,667.4079999999994,9.358500302177493,2.261730209734525
PANERAI,PAM00968,Submersible,17573.16,19221.452,1648.2920000000013,9.379599343544367,2.266662310079659
PANERAI,PAM01060,Luminor,179525.34,175664.972,-3860.3679999999877,-2.1503192808324374,-0.5419698928940564
PANERAI,PAM01074,Submersible,16801.98,18227.106,1425.1260000000002,8.481893205443646,2.056181281600944
PANERAI,PAM01084,Luminor,5826.780000000001,6289.188,462.40799999999945,7.935909713426616,1.92752740286124
PANERAI,PAM01085,Luminor,5826.780000000001,6289.188,462.40799999999945,7.935909713426616,1.92752740286124
PANERAI,PAM01086,Luminor,5252.28,5773.744000000001,521.4640000000009,9.928335884606321,2.394684785985657
PANERAI,PAM01109,Luminor,9659.37,10339.655999999999,680.2859999999982,7.04275744691422,1.7160114513193436
PANERAI,PAM01110,Luminor,10515.6,11120.516,604.9159999999993,5.752558104150018,1.408117422272559
PANERAI,PAM01111,Luminor,28748.31,30341.968,1593.6579999999994,5.543484121327478,1.3579589766880895
PANERAI,PAM01112,Luminor,25227.300000000003,27624.345999999998,2397.045999999995,9.501793691754546,2.2952123698095184
PANERAI,PAM01123,Luminor Due,7424.34,7900.54,476.1999999999998,6.414038150192472,1.5663232291220686
PANERAI,PAM01124,Luminor Due,7769.040000000001,8314.422,545.3819999999996,7.019940687652523,1.710590684570512
PANERAI,PAM01157,Luminor,9199.77,9735.74,535.9699999999993,5.825906517228141,1.4256966439642804
PANERAI,PAM01218,Luminor,9659.37,10339.655999999999,680.2859999999982,7.04275744691422,1.7160114513193436
PANERAI,PAM01248,Luminor Due,6631.08,7106.59,475.5100000000002,7.170928415883992,1.7464459951398448
PANERAI,PAM01250,Luminor Due,6912.81,7497.0199999999995,584.2099999999991,8.451121902670536,2.04894335538659
PANERAI,PAM01273,Luminor Due,6631.08,7106.59,475.5100000000002,7.170928415883992,1.7464459951398448
PANERAI,PAM01280,Luminor Due,17773.11,19132.98,1359.869999999999,7.651277688598107,1.8602639397812482
PANERAI,PAM01312,Luminor,8384.43,9021.77,637.3400000000001,7.601470821510825,1.8484800083630404
PANERAI,PAM01313,Luminor,8384.43,9021.77,637.3400000000001,7.601470821510825,1.8484800083630404
PANERAI,PAM01314,Luminor,8384.43,9021.77,637.3400000000001,7.601470821510825,1.8484800083630404
PANERAI,PAM01316,Luminor,9303.630000000001,9824.212,520.5819999999985,5.595471874956318,1.3704381922307052
PANERAI,PAM01356,Luminor,9199.77,9735.74,535.9699999999993,5.825906517228141,1.4256966439642804
PANERAI,PAM01358,Luminor,9199.77,9735.74,535.9699999999993,5.825906517228141,1.4256966439642804
PANERAI,PAM01441,Luminor,13433.49,15384.47,1950.9799999999996,14.523254939706657,3.4483149032380034
